Id,Name,Interface,Speed,Price,Recommended,Link
118,PATRIOT Burst Elite PBE480GS25SSDR 480ГБ,SATA III,450,4990,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-burst-elite-pbe480gs25ssdr-480gb-2-5-sata-iii-1471161/
119,A-DATA Ultimate SU650 ASU650SS-960GT-R 960ГБ,SATA III,520,8990,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-ultimate-su650-asu650ss-960gt-r-960gb-2-5-sata-ii-1111083/
120,INTEL DC D3-S4510 SSDSC2KB960G801 960ГБ,SATA III,560,18 590,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-d3-s4510-ssdsc2kb960g801-960gb-2-5-sata-iii-ssd-1078134/
121,INTEL 660P SSDPEKNW512G8X1 512ГБ,PCI-E x4,1500,6290,0,https://www.citilink.ru/product/ssd-nakopitel-intel-660p-ssdpeknw512g8x1-512gb-m-2-2280-pci-e-x4-nvme-1179579/
122,INTEL DC D3-S4510 SSDSC2KB240G801 240ГБ,SATA III,560,8590,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-d3-s4510-ssdsc2kb240g801-240gb-2-5-sata-iii-ssd-1078070/
123,SEAGATE BarraCuda Q1 ZA960CV1A001 960ГБ,SATA III,550,7990,0,https://www.citilink.ru/product/ssd-nakopitel-seagate-barracuda-q1-za960cv1a001-960gb-2-5-sata-iii-1468965/
124,INTEL 545s Series SSDSCKKW256G8 256ГБ,SATA III,550,3790,0,https://www.citilink.ru/product/ssd-nakopitel-intel-545s-series-ssdsckkw256g8-256gb-m-2-2280-sata-iii-1072667/
125,INTEL DC D3-S4510 SSDSC2KB960G8 960ГБ,SATA III,560,18 590,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-d3-s4510-ssdsc2kb960g8-960gb-2-5-sata-iii-1187627/
126,INTEL DC P4510 SSDPE2KX020T801 2ТБ,PCI-E x4,U.2,45 490,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-p4510-ssdpe2kx020t801-2tb-2-5-pci-e-x4-nvme-u-2-1065568/
127,INTEL DC P4610 SSDPE2KE016T801 1.6ТБ,PCI-E x4,U.2,55 990,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-p4610-ssdpe2ke016t801-1-6tb-2-5-pci-e-x4-nvme-u-1085091/
128,PATRIOT Viper VPR100 VPR100-256GM28H 256ГБ,PCI-E x4,3300,5690,0,https://www.citilink.ru/product/nakopitel-ssd-patriot-pci-e-x4-256gb-vpr100-256gm28h-viper-vpr100-m-2-1390090/
129,INTEL 545s Series SSDSCKKW128G8 128ГБ,SATA III,550,2790,0,https://www.citilink.ru/product/ssd-nakopitel-intel-545s-series-ssdsckkw128g8-128gb-m-2-2280-sata-iii-1104942/
130,INTEL DC P4510 SSDPE2KX040T801 4ТБ,PCI-E x4,U.2,78 990,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-p4510-ssdpe2kx040t801-4tb-2-5-pci-e-x4-nvme-u-2-1148611/
131,INTEL DC P4101 SSDPEKKA512G801 512ГБ,PCI-E x4,2550,9990,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-p4101-ssdpekka512g801-512gb-m-2-2280-pci-e-x4-n-1096186/
