Id,Name,Power,Price,Recommended,Link
62,THERMALTAKE Litepower RGB 650,650 Вт,4250,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-litepower-rgb-650-650vt-120mm-chernyi-retail-1156191/
63,HIPRO HIPO DIGI HPE350W,350 Вт,2210,0,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpe350w-350vt-120mm-45714/
64,COOLER MASTER MWE Bronze V2,600 Вт,5090,0,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-bronze-600w-v2-600vt-120mm-retail-mpe-1446117/
65,HIPRO HIPO DIGI HPP-650W,650 Вт,3570,0,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpp-650w-650vt-120mm-seryi-hpp650-408456/
66,ACCORD ACC-450W-80BR,450 Вт,2920,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-450w-80br-450vt-120mm-chernyi-retail-405085/
67,FORMULA Formula-AP600-80,600 Вт,4020,0,https://www.citilink.ru/product/blok-pitaniya-formula-formula-ap600-80-600vt-120mm-chernyi-retail-1179260/
68,HIPRO HIPO DIGI HPP-500W,500 Вт,2410,0,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpp-500w-500vt-120mm-seryi-hpp500-408454/
69,GIGABYTE AORUS GP-AP750GM,750 Вт,10 010,0,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-750w-aorus-gp-ap750gm-80-gold-24-4-4pin-apf-1422467/
70,SEASONIC FOCUS GX-650,650 Вт,9640,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-focus-gx-650-650vt-120mm-chernyi-retail-gx-650-1184506/
71,COOLER MASTER MWE Bronze 650W V2,650 Вт,5190,0,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-bronze-650w-v2-650vt-120mm-chernyi-ret-1446161/
72,HIPRO HIPO DIGI HPA-600W,600 Вт,4220,0,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpa-600w-600vt-120mm-chernyi-retail-hpa6-737092/
73,FORMULA MONZA VL-750APB-85,750 Вт,5700,0,https://www.citilink.ru/product/blok-pitaniya-formula-atx-750w-monza-vl-750apb-85-80-bronze-24-4pin-ap-1179264/
74,ACCORD ACC-500W-80BR,500 Вт,3470,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-500w-80br-500vt-120mm-chernyi-retail-405088/
75,AEROCOOL AERO WHITE,500 Вт,3490,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-500vt-120mm-chernyi-retail-aero-whit-1207077/
76,COOLER MASTER MWE White V2,700 Вт,4820,0,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-white-v2-700vt-120mm-retail-mpe-7001-a-1468756/
77,SEASONIC S12III-550 SSR-550GB3,550 Вт,5390,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-s12iii-550-ssr-550gb3-550vt-120mm-chernyi-retai-1217450/
78,QDION Q-DION QD500-PNR 80+,500 Вт,2450,0,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd500-pnr-80-500vt-120mm-qd-500-pnr-80-1131924/
79,THERMALTAKE Toughpower Grand RGB Sync,650 Вт,10 720,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-grand-rgb-sync-650vt-140mm-cherny-1106489/
80,FORMULA Formula-AP500-80,500 Вт,2870,0,https://www.citilink.ru/product/blok-pitaniya-formula-formula-ap500-80-500vt-120mm-chernyi-retail-1179247/
81,QDION Q-DION QD550,700 Вт,2640,0,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd550-550vt-120mm-qd-550-80-480432/
82,ACCORD ACC-600W-80BR,600 Вт,3690,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-600w-80br-600vt-120mm-chernyi-retail-405090/
83,HIPRO HPC500W-Active,500 Вт,4170,0,https://www.citilink.ru/product/blok-pitaniya-hipro-hpc500w-active-500vt-120mm-chernyi-retail-576554/
84,SEASONIC CORE GC-650 SSR-650LC,650 Вт,7790,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-core-gc-650-ssr-650lc-650vt-120mm-chernyi-1217447/
85,COOLER MASTER MWE Bronze V2,750 Вт,6530,0,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-bronze-750w-v2-750vt-120mm-chernyi-ret-1446125/
86,FSP 550PNR,550 Вт,3270,0,https://www.citilink.ru/product/blok-pitaniya-fsp-550pnr-550vt-120mm-atx-550pnr-548390/
87,HIPRO HIPO DIGI HPP-600W,600 Вт,2820,0,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpp-600w-600vt-120mm-seryi-hpp600-408455/
88,QDION Q-DION QD500,500 Вт,2720,0,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd500-500vt-120mm-qd-500-405112/
89,QDION Q-DION QD450,450 Вт,2480,0,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd450-450vt-120mm-qd-450-405111/
90,THERMALTAKE Toughpower GX1 RGB,600 Вт,7130,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-gx1-rgb-600vt-120mm-chernyi-retai-1112448/
91,AEROCOOL AERO WHITE,550 Вт,3760,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-550vt-120mm-chernyi-retail-aero-whit-1207088/
92,GIGABYTE GP-P1000GM,1000 Вт,18 990,0,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-1000w-gp-p1000gm-80-gold-24-4-4pin-apfc-120-1496751/
93,AEROCOOL SX-400,400 Вт,2180,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-sx-400-400vt-80mm-chernyi-retail-388484/
94,FORMULA Formula-AP450-80,2х6+2 pin,2780,0,https://www.citilink.ru/product/blok-pitaniya-formula-formula-ap450-80-450vt-120mm-chernyi-retail-1179243/
95,QDION Q-DION QD400,5 шт,1970,0,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd400-400vt-120mm-qd-400-405108/
96,SEASONIC CORE GM-650 SSR-650LM,4 шт,7950,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-core-gm-650-ssr-650lm-650vt-120mm-chernyi-1217448/
97,SEASONIC S12III-500 SSR-500GB3,500 Вт,5100,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-s12iii-500-ssr-500gb3-500vt-120mm-chernyi-retai-1217449/
